Speed       , Steering , IsWin, DistanceX   , DistanceY    , PosX       , PosY         , VelocityX    , VelocityY    , Angle        , AngularVelocity
1.7         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.170919E-10 , -7.450581E-09, 1.94871E-05  , 0
1.8         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -7.726997E-10, 3.66952E-16  , 1.949018E-05 , 0
1.8         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 9.935373E-09 , -7.450576E-09, 1.947595E-05 , 0
1.8         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 7.62215E-09  , -7.450585E-09, 1.947103E-05 , 0
1.8         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.312736E-09 , -1.408243E-15, 1.948749E-05 , 0
1.8         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.147137E-09 , -7.450577E-09, 1.949254E-05 , 0
1.8         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 8.068665E-09 , -7.450581E-09, 1.948582E-05 , 0
1.8         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.007823E-08 , -7.450581E-09, 1.947102E-05 , 0
1.8         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.084355E-08 , -7.450581E-09, 1.945313E-05 , 0
1.8         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.056569E-08 , -7.450581E-09, 1.943636E-05 , 0
1.9         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 9.717631E-09 , -7.450581E-09, 1.942301E-05 , 0
2.1         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 0            , 0            , 1.940646E-05 , 0
2.1         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 4.585444E-09 , 7.450579E-09 , 1.941377E-05 , 0
2.2         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.929664E-09 , 7.45058E-09  , 1.941567E-05 , 0
2.2         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 9.375687E-09 , 7.450581E-09 , 1.940369E-05 , 0
2.3         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.416792E-08 , 7.450581E-09 , 1.937242E-05 , 0
2.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 7.502353E-09 , -7.450584E-09, 1.931889E-05 , 0
2.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 7.055351E-09 , -8.194408E-16, 1.931626E-05 , 0
2.5         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 4.379687E-09 , -8.881742E-16, 1.932439E-05 , 0
2.5         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -1.254881E-09, -7.450581E-09, 1.935522E-05 , 0
2.6         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -3.282179E-10, 1.399854E-15 , 1.938231E-05 , 0
2.6         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.026481E-09 , 5.136392E-16 , 1.939993E-05 , 0
2.7         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.794226E-09 , -4.870311E-16, 1.941445E-05 , 0
2.799999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.104849E-08 , -7.450579E-09, 1.939573E-05 , 0
2.799999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 4.746518E-09 , -3.764287E-15, 1.940239E-05 , 0
2.899999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.001155E-09 , 1.129743E-15 , 1.942011E-05 , 0
2.899999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.397644E-09 , 7.450582E-09 , 1.942415E-05 , 0
2.999999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.710567E-09 , 7.450579E-09 , 1.942693E-05 , 0
3.099999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.532426E-09 , -8.240231E-16, 1.944653E-05 , 0
3.099999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.803515E-09 , 5.842721E-16 , 1.944893E-05 , 0
3.199999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 6.537218E-09 , -1.142309E-15, 1.944839E-05 , 0
3.299999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.24282E-09  , -7.450581E-09, 1.945305E-05 , 0
3.299999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 4.351003E-09 , 1.490116E-08 , 1.94846E-05  , 0
3.399999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 6.381647E-09 , 7.450582E-09 , 1.948467E-05 , 0
3.399999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 4.353927E-09 , 3.725291E-09 , 1.949167E-05 , 0
3.499999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.382476E-09 , 3.72529E-09  , 1.94833E-05  , 0
3.499999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.273358E-12 , 3.72529E-09  , 1.948451E-05 , 0
3.499999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 0            , 0            , 1.947696E-05 , 0
3.499999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.259456E-09 , 3.72529E-09  , 1.946908E-05 , 0
3.699999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.759355E-09 , 3.72529E-09  , 1.945517E-05 , 0
3.799999    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.651151E-09 , 7.450581E-09 , 1.948274E-05 , 0
3.899998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -2.492068E-09, -1.332268E-15, 1.949399E-05 , 0
3.899998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -4.327333E-09, -3.72529E-09 , 1.948559E-05 , 0
3.999998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -4.00347E-09 , -3.725289E-09, 1.950169E-05 , 0
3.999998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -5.69215E-09 , 1.490116E-08 , 1.949878E-05 , 0
4.099998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -1.489967E-09, 7.450583E-09 , 1.948021E-05 , 0
4.199998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.175925E-10 , -1.554312E-15, 1.950425E-05 , 0
4.199998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.767474E-09 , 8.881784E-16 , 1.949308E-05 , 0
4.299998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 6.508503E-10 , -1.776357E-15, 1.949044E-05 , 0
4.299998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -1.245467E-09, -3.72529E-09 , 1.949543E-05 , 0
4.399998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -2.036778E-09, -3.72529E-09 , 1.95036E-05  , 0
4.499998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -1.430023E-10, 3.725291E-09 , 1.950415E-05 , 0
4.499998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -1.323555E-09, 3.725289E-09 , 1.948366E-05 , 0
4.599998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -1.578609E-09, -3.72529E-09 , 1.948999E-05 , 0
4.699998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.038745E-10 , -3.72529E-09 , 1.948793E-05 , 0
4.699998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -1.57374E-09 , -3.859664E-17, 1.949424E-05 , 0
4.799998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -2.371454E-09, 4.153517E-16 , 1.950376E-05 , 0
4.899998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -3.709353E-10, 7.450581E-09 , 1.950523E-05 , 0
4.899998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -1.387458E-09, -9.273985E-16, 1.948499E-05 , 0
4.999998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.547098E-10 , 3.725292E-09 , 1.948273E-05 , 0
4.999998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 4.149103E-09 , -1.147763E-16, 1.94918E-05  , 0
5.099998    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.118527E-09 , -1.776359E-15, 1.948324E-05 , 0
5.199997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 4.732367E-09 , 5.85375E-16  , 1.948996E-05 , 0
5.199997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 0            , 0            , 1.949789E-05 , 0
5.199997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.795858E-09 , 3.725291E-09 , 1.94866E-05  , 0
5.199997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.563913E-09 , -1.592856E-15, 1.948028E-05 , 0
5.199997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.218584E-09 , 3.725292E-09 , 1.948504E-05 , 0
5.199997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.68273E-09  , -1.5928E-15  , 1.949598E-05 , 0
5.199997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 6.386912E-09 , 3.725292E-09 , 1.949604E-05 , 0
5.199997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.8609E-09   , -1.593197E-15, 1.948047E-05 , 0
5.199997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.933636E-09 , 3.725292E-09 , 1.948235E-05 , 0
5.199997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.156863E-09 , -1.592702E-15, 1.949541E-05 , 0
5.299997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 6.057992E-09 , 1.776355E-15 , 1.949679E-05 , 0
5.399997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.605067E-09 , 3.72529E-09  , 1.948628E-05 , 0
5.399997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 6.547148E-10 , -1.147972E-16, 1.948361E-05 , 0
5.499997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -8.000214E-10, 1.400443E-16 , 1.948681E-05 , 0
5.499997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -3.888592E-09, -8.265634E-16, 1.950244E-05 , 0
5.599997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -3.300198E-09, 7.450582E-09 , 1.94899E-05  , 0
5.699997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -5.626088E-11, 5.855753E-16 , 1.94901E-05  , 0
5.699997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.302027E-09 , 5.855813E-16 , 1.948081E-05 , 0
5.799997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.28866E-09  , -3.72529E-09 , 1.948529E-05 , 0
5.799997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.040154E-09 , -2.416431E-21, 1.949076E-05 , 0
5.899997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.157687E-09 , -8.881784E-16, 1.947803E-05 , 0
5.999997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.462494E-09 , -3.72529E-09 , 1.948986E-05 , 0
5.999997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.351401E-11 , -8.881784E-16, 1.949098E-05 , 0
6.099997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 4.225782E-09 , -3.725288E-09, 1.947394E-05 , 0
6.099997    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.946633E-09 , -3.725291E-09, 1.947577E-05 , 0
6.199996    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 4.203583E-09 , -1.07207E-15 , 1.948462E-05 , 0
6.299996    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.101802E-09 , -8.264703E-16, 1.947613E-05 , 0
6.299996    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 0            , 0            , 1.949731E-05 , 0
6.399996    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.547161E-09 , 3.725292E-09 , 1.9483E-05   , 0
6.399996    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.554923E-09 , -1.592728E-15, 1.947671E-05 , 0
6.499996    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -2.244701E-10, -2.415367E-21, 1.947759E-05 , 0
6.599996    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 4.550232E-10 , 7.043543E-16 , 1.947573E-05 , 0
6.599996    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.646728E-10 , -1.262087E-16, 1.947424E-05 , 0
6.599996    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.627884E-09 , 4.572053E-16 , 1.949345E-05 , 0
6.599996    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.834767E-09 , -3.213399E-16, 1.948604E-05 , 0
6.699996    , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.763942E-09 , -1.862645E-09, 1.947891E-05 , 0
